_id,Name,Address,Location,Price,Cuisine,PhoneNumber,Url,WebsiteUrl,Award,FacilitiesAndServices,Hour,coord,Comments
ObjectId(63da3cd93edd49a903f1789f),Himawari,"3-20-4 Denen, Gojo, Nara, 637-0093, Japan","Nara, Japan",¥,Yoshoku,+81747230535,https://guide.michelin.com/en/nara-region/nara/restaurant/himawari,,2,"Air conditioning,Car park,Cash only",8,"[135.683251,34.368601]",8.333629e+06
ObjectId(63da3cd93edd49a903f178a0),Nidaime Izumosoba Dandan,"2-2-34 Omiyacho, Nara, Nara, 630-8115, Japan","Nara, Japan",¥¥,Soba,+81742306566,https://guide.michelin.com/en/nara-region/nara/restaurant/nidaime-izumosoba-dandan,https://dandannara.com/,4,"Air conditioning,Car park,Cash only,Counter dining",11,"[135.81673,34.682442]",8.447073e+06
ObjectId(63da3cd93edd49a903f178a1),Residents Cafe & Bar,"1306 18th St. NW, Washington, 20036, USA","Washington, USA",$$,Contemporary,+12026029563,https://guide.michelin.com/en/district-of-columbia/washington-dc/restaurant/residents-cafe-bar,https://www.residentsdc.com/,4,"Air conditioning,American Express credit card,Brunch,Credit card / Debit card accepted,Diners Club credit card,Mastercard credit card,Terrace,Visa credit card",16,"[-77.0417544,38.907818]",8.820864e+06
ObjectId(63da3cd93edd49a903f178a2),Stellina Pizzeria,"399 Morse St. NE, Washington, 20002, USA","Washington, USA",$$,"Pizza, Italian",+12028513995,https://guide.michelin.com/en/district-of-columbia/washington-dc/restaurant/stellina-pizzeria,https://www.stellinapizzeria.com/,4,"Air conditioning,Credit card / Debit card accepted,Terrace",2,"[-77.0000413,38.9079122]",587429
ObjectId(63da3cd93edd49a903f178a3),Timber Pizza Co,"809 Upshur St. NW, Washington, 20011, USA","Washington, USA",$,Pizza,+12028539746,https://guide.michelin.com/en/district-of-columbia/washington-dc/restaurant/timber-pizza-co,https://www.timberpizza.com/,4,"Air conditioning,Credit card / Debit card accepted,Terrace",10,"[-77.02382,38.942]",6.237346e+06
ObjectId(63da3cd93edd49a903f178a4),Unconventional Diner,"1207 9th St., Washington, 20001, USA","Washington, USA",$$,American,+12028470122,https://guide.michelin.com/en/district-of-columbia/washington-dc/restaurant/unconventional-diner,https://www.unconventionaldiner.com/,3,"Air conditioning,American Express credit card,Brunch,Credit card / Debit card accepted,Mastercard credit card,Terrace,Visa credit card,Wheelchair access",17,"[-77.02381,38.906124]",1.764749e+06
ObjectId(63da3cd93edd49a903f178a5),Sfoglina,"4445 Connecticut Ave. NW, Washington, 20008, USA","Washington, USA",$$,Italian,+12025251402,https://guide.michelin.com/en/district-of-columbia/washington-dc/restaurant/sfoglina,http://www.sfoglinadc.com/,3,"Air conditioning,Brunch,Credit card / Debit card accepted,Terrace,Wheelchair access",17,"[-77.0644436,38.9466859]",7.712547e+06
ObjectId(63da3cd93edd49a903f178a6),The Red Hen,"1822 1st St. NW, Washington, 20001, USA","Washington, USA",$$,Italian,+12025253021,https://guide.michelin.com/en/district-of-columbia/washington-dc/restaurant/the-red-hen,https://theredhendc.com/,4,"Air conditioning,Credit card / Debit card accepted,Particularly interesting wine list",3,"[-77.01227,38.914898]",7.788407e+06
ObjectId(63da3cd93edd49a903f178a7),Jaleo,"480 7th St. NW, Washington, 20004, USA","Washington, USA",$$,Spanish,+12026287949,https://guide.michelin.com/en/district-of-columbia/washington-dc/restaurant/jaleo,https://www.jaleo.com/,3,"Air conditioning,Brunch,Terrace,Wheelchair access",2,"[-77.02215,38.89605]",2.748386e+06
ObjectId(63da3cd93edd49a903f178a8),Pearl Dive Oyster Palace,"1612 14th St. NW, Washington, 20009, USA","Washington, USA",$$,Southern,+12023191612,https://guide.michelin.com/en/district-of-columbia/washington-dc/restaurant/pearl-dive-oyster-palace,https://pearldivedc.com/,3,"Air conditioning,Brunch,Credit card / Debit card accepted,Terrace",15,"[-77.03204,38.91176]",4.638425e+06
